x,y,label
0,0,1
0.125,0,1
0.25,0,1
0.375,0,1
0.5,0,1
0.625,0,1
0.75,0,1
0.875,0,1
1,0,1
0,0.125,1
0.125,0.125,1
0.25,0.125,1
0.375,0.125,1
0.5,0.125,1
0.625,0.125,1
0.75,0.125,1
0.875,0.125,1
1,0.125,1
0,0.25,1
0.125,0.25,1
0.25,0.25,1
0.375,0.25,1
0.5,0.25,1
0.625,0.25,1
0.75,0.25,1
0.875,0.25,1
1,0.25,1
0,0.375,1
0.125,0.375,1
0.25,0.375,1
0.375,0.375,1
0.5,0.375,1
0.625,0.375,1
0.75,0.375,1
0.875,0.375,1
1,0.375,1
0,0.5,1
0.125,0.5,1
0.25,0.5,1
0.375,0.5,1
0.5,0.5,1
0.625,0.5,1
0.75,0.5,1
0.875,0.5,1
1,0.5,1
0,0.625,1
0.125,0.625,1
0.25,0.625,1
0.375,0.625,1
0.5,0.625,1
0.625,0.625,1
0.75,0.625,1
0.875,0.625,1
1,0.625,1
0,0.75,1
0.125,0.75,1
0.25,0.75,1
0.375,0.75,1
0.5,0.75,1
0.625,0.75,1
0.75,0.75,1
0.875,0.75,1
1,0.75,1
0,0.875,1
0.125,0.875,1
0.25,0.875,1
0.375,0.875,1
0.5,0.875,1
0.625,0.875,1
0.75,0.875,1
0.875,0.875,1
1,0.875,1
0,1,1
0.125,1,1
0.25,1,1
0.375,1,1
0.5,1,1
0.625,1,1
0.75,1,1
0.875,1,1
1,1,1
2,0,1
2.090909091,0,1
2.181818182,0,1
2.272727273,0,1
2.363636364,0,1
2.454545455,0,1
2.545454545,0,1
2.636363636,0,1
2.727272727,0,1
2.818181818,0,1
2.909090909,0,1
3,0,1
2,0.090909091,1
2.090909091,0.090909091,1
2.181818182,0.090909091,1
2.272727273,0.090909091,1
2.363636364,0.090909091,1
2.454545455,0.090909091,1
2.545454545,0.090909091,1
2.636363636,0.090909091,1
2.727272727,0.090909091,1
2.818181818,0.090909091,1
2.909090909,0.090909091,1
3,0.090909091,1
2,0.181818182,1
2.090909091,0.181818182,1
2.181818182,0.181818182,1
2.272727273,0.181818182,1
2.363636364,0.181818182,1
2.454545455,0.181818182,1
2.545454545,0.181818182,1
2.636363636,0.181818182,1
2.727272727,0.181818182,1
2.818181818,0.181818182,1
